,noFacture,dateFacture,pays
71623,542153.0,2011-01-26 10:33:00,United Kingdom
71631,542154.0,2011-01-26 10:49:00,United Kingdom
71632,542155.0,2011-01-26 10:51:00,United Kingdom
71634,542174.0,2011-01-26 11:14:00,United Kingdom
71651,542192.0,2011-01-26 11:27:00,United Kingdom
71761,542207.0,2011-01-26 11:34:00,United Kingdom
71764,542208.0,2011-01-26 11:35:00,United Kingdom
71774,542212.0,2011-01-26 12:12:00,United Kingdom
71776,542213.0,2011-01-26 12:15:00,United Kingdom
71785,542214.0,2011-01-26 12:19:00,United Kingdom
71795,542215.0,2011-01-26 12:27:00,Germany
71837,542216.0,2011-01-26 12:29:00,EIRE
71889,542217.0,2011-01-26 12:35:00,United Kingdom
71907,542219.0,2011-01-26 12:36:00,United Kingdom
71945,542220.0,2011-01-26 12:38:00,United Kingdom
71948,542221.0,2011-01-26 12:40:00,United Kingdom
71984,542222.0,2011-01-26 12:42:00,United Kingdom
71985,542223.0,2011-01-26 12:43:00,United Kingdom
71991,542224.0,2011-01-26 12:45:00,United Kingdom
72007,542226.0,2011-01-26 13:20:00,United Kingdom
72025,542227.0,2011-01-26 13:33:00,United Kingdom
72046,542228.0,2011-01-26 13:37:00,United Kingdom
72065,542229.0,2011-01-26 13:38:00,Germany
72087,542230.0,2011-01-26 13:38:00,United Kingdom
72094,542231.0,2011-01-26 13:40:00,United Kingdom
72186,542233.0,2011-01-26 13:46:00,United Kingdom
72198,542234.0,2011-01-26 13:46:00,United Kingdom
72199,542235.0,2011-01-26 13:56:00,United Kingdom
72203,542236.0,2011-01-26 14:19:00,United Kingdom
72246,542237.0,2011-01-26 14:30:00,Iceland
72275,542238.0,2011-01-26 14:35:00,Italy
72301,542239.0,2011-01-26 14:35:00,United Kingdom
72329,542240.0,2011-01-26 14:45:00,United Kingdom
72340,542241.0,2011-01-26 14:51:00,United Kingdom
72388,542242.0,2011-01-26 14:58:00,United Kingdom
72396,542243.0,2011-01-26 15:00:00,United Kingdom
72422,542246.0,2011-01-26 15:31:00,United Kingdom
72438,542247.0,2011-01-26 15:49:00,United Kingdom
72453,542252.0,2011-01-26 16:01:00,United Kingdom
72517,542253.0,2011-01-26 16:36:00,United Kingdom
72518,542254.0,2011-01-26 16:41:00,United Kingdom
72528,542255.0,2011-01-26 16:43:00,United Kingdom
72731,542258.0,2011-01-26 17:08:00,United Kingdom
72759,542265.0,2011-01-26 17:27:00,United Kingdom
72782,542266.0,2011-01-26 17:37:00,United Kingdom
72813,542267.0,2011-01-26 17:43:00,United Kingdom
72814,542268.0,2011-01-27 08:30:00,United Kingdom
72850,542269.0,2011-01-27 09:33:00,Channel Islands
72884,542272.0,2011-01-27 09:42:00,United Kingdom
72930,542274.0,2011-01-27 10:02:00,United Kingdom
72951,542275.0,2011-01-27 10:18:00,United Kingdom
72985,542276.0,2011-01-27 10:19:00,Lebanon
73030,542277.0,2011-01-27 10:30:00,United Kingdom
73048,542278.0,2011-01-27 10:43:00,EIRE
73069,542284.0,2011-01-27 10:56:00,United Kingdom
73093,542303.0,2011-01-27 11:05:00,Spain
73186,542320.0,2011-01-27 11:15:00,United Kingdom
73191,542344.0,2011-01-27 11:30:00,United Kingdom
73372,542345.0,2011-01-27 11:55:00,United Kingdom
73422,542347.0,2011-01-27 12:06:00,United Kingdom
73447,542349.0,2011-01-27 12:10:00,United Kingdom
73458,542350.0,2011-01-27 12:11:00,United Kingdom
73463,542351.0,2011-01-27 12:13:00,United Kingdom
73468,542353.0,2011-01-27 12:19:00,United Kingdom
73506,542354.0,2011-01-27 12:19:00,United Kingdom
73527,542355.0,2011-01-27 12:23:00,United Kingdom
73532,542360.0,2011-01-27 12:40:00,United Kingdom
73606,542369.0,2011-01-27 13:08:00,Germany
73622,542370.0,2011-01-27 13:23:00,United Kingdom
73648,542371.0,2011-01-27 13:29:00,Germany
73660,542372.0,2011-01-27 13:37:00,United Kingdom
73669,542373.0,2011-01-27 13:38:00,United Kingdom
73719,542374.0,2011-01-27 13:40:00,United Kingdom
73735,542375.0,2011-01-27 13:42:00,Germany
73743,542377.0,2011-01-27 13:53:00,United Kingdom
73755,542381.0,2011-01-27 14:07:00,United Kingdom
73773,542382.0,2011-01-27 14:10:00,United Kingdom
73785,542384.0,2011-01-27 14:31:00,United Kingdom
73799,542386.0,2011-01-27 14:35:00,United Kingdom
73807,542387.0,2011-01-27 14:38:00,United Kingdom
73811,542388.0,2011-01-27 14:45:00,United Kingdom
73820,542389.0,2011-01-27 14:46:00,United Kingdom
73832,542390.0,2011-01-27 14:48:00,United Kingdom
73851,542393.0,2011-01-27 15:02:00,United Kingdom
73937,542397.0,2011-01-27 15:22:00,United Kingdom
73954,542398.0,2011-01-27 15:36:00,United Kingdom
74027,542399.0,2011-01-27 15:38:00,United Kingdom
74089,542401.0,2011-01-27 15:51:00,United Kingdom
74149,542405.0,2011-01-27 16:11:00,United Kingdom
74151,542406.0,2011-01-27 16:13:00,United Kingdom
74169,542407.0,2011-01-27 16:17:00,United Kingdom
74188,542408.0,2011-01-27 16:29:00,United Kingdom
74229,542409.0,2011-01-27 16:30:00,United Kingdom
74245,542411.0,2011-01-27 16:43:00,United Kingdom
74251,542412.0,2011-01-27 16:49:00,United Kingdom
74289,542419.0,2011-01-27 17:41:00,United Kingdom
74313,542420.0,2011-01-27 18:05:00,United Kingdom
74368,542422.0,2011-01-27 19:33:00,United Kingdom
74389,542423.0,2011-01-28 09:09:00,United Kingdom
74416,542425.0,2011-01-28 09:20:00,France
74463,542428.0,2011-01-28 10:00:00,Sweden
74484,542429.0,2011-01-28 10:08:00,United Kingdom
74497,542430.0,2011-01-28 10:10:00,United Kingdom
74505,542431.0,2011-01-28 10:28:00,United Kingdom
74525,542432.0,2011-01-28 10:40:00,United Kingdom
74528,542433.0,2011-01-28 10:45:00,France
74547,542434.0,2011-01-28 10:47:00,United Kingdom
74563,542470.0,2011-01-28 11:27:00,United Kingdom
74579,542503.0,2011-01-28 11:58:00,United Kingdom
74616,542506.0,2011-01-28 12:06:00,United Kingdom
74646,542511.0,2011-01-28 12:07:00,United Kingdom
74660,542517.0,2011-01-28 12:11:00,United Kingdom
74669,542519.0,2011-01-28 12:19:00,United Kingdom
74690,542520.0,2011-01-28 12:21:00,United Kingdom
74724,542521.0,2011-01-28 12:28:00,United Kingdom
74740,542526.0,2011-01-28 12:43:00,United Kingdom
74790,542527.0,2011-01-28 12:48:00,United Kingdom
74810,542528.0,2011-01-28 13:04:00,United Kingdom
74826,542530.0,2011-01-28 13:08:00,United Kingdom
74840,542533.0,2011-01-28 13:18:00,United Kingdom
74842,542534.0,2011-01-28 13:27:00,United Kingdom
74874,542535.0,2011-01-28 13:37:00,France
74895,542536.0,2011-01-28 13:37:00,United Kingdom
74967,542538.0,2011-01-28 13:54:00,United Kingdom
75006,542541.0,2011-01-28 14:25:00,United Kingdom
75184,542542.0,2011-01-28 14:37:00,Australia
75204,542543.0,2011-01-28 14:42:00,United Kingdom
75225,542549.0,2011-01-28 14:45:00,United Kingdom
75244,542568.0,2011-01-28 14:53:00,United Kingdom
75261,542578.0,2011-01-28 14:57:00,United Kingdom
75296,542583.0,2011-01-28 15:09:00,United Kingdom
75304,542584.0,2011-01-28 15:21:00,United Kingdom
75325,542585.0,2011-01-28 15:29:00,United Kingdom
75341,542586.0,2011-01-28 15:45:00,Switzerland
75375,542587.0,2011-01-28 15:53:00,United Kingdom
75384,542590.0,2011-01-28 16:18:00,United Kingdom
75394,542591.0,2011-01-28 16:42:00,United Kingdom
75396,542594.0,2011-01-28 17:24:00,United Kingdom
75397,542595.0,2011-01-30 10:19:00,United Kingdom
75435,542596.0,2011-01-30 10:27:00,United Kingdom
75444,542597.0,2011-01-30 10:33:00,United Kingdom
75457,542598.0,2011-01-30 10:43:00,United Kingdom
75476,542599.0,2011-01-30 11:01:00,United Kingdom
75494,542600.0,2011-01-30 11:11:00,United Kingdom
75527,542601.0,2011-01-30 11:52:00,United Kingdom
75557,542602.0,2011-01-30 12:09:00,United Kingdom
75583,542603.0,2011-01-30 12:09:00,United Kingdom
75605,542605.0,2011-01-30 12:42:00,United Kingdom
75629,542606.0,2011-01-30 13:36:00,United Kingdom
75634,542607.0,2011-01-30 13:48:00,United Kingdom
75699,542608.0,2011-01-30 13:51:00,United Kingdom
75753,542609.0,2011-01-30 14:03:00,United Kingdom
75761,542610.0,2011-01-30 14:05:00,United Kingdom
75793,542611.0,2011-01-30 14:13:00,United Kingdom
75841,542612.0,2011-01-30 14:19:00,United Kingdom
75866,542613.0,2011-01-30 14:36:00,United Kingdom
75909,542614.0,2011-01-30 14:37:00,United Kingdom
75916,542615.0,2011-01-30 15:22:00,United Kingdom
75917,542616.0,2011-01-30 15:40:00,United Kingdom
75932,542617.0,2011-01-30 15:48:00,United Kingdom
76026,542618.0,2011-01-30 15:52:00,United Kingdom
76069,542619.0,2011-01-30 15:54:00,United Kingdom
76119,542620.0,2011-01-31 08:56:00,United Kingdom
76138,542621.0,2011-01-31 09:05:00,Germany
76169,542622.0,2011-01-31 09:09:00,United Kingdom
76318,542623.0,2011-01-31 09:41:00,United Kingdom
76333,542624.0,2011-01-31 09:48:00,United Kingdom
76404,542625.0,2011-01-31 09:50:00,United Kingdom
76469,542626.0,2011-01-31 09:51:00,Germany
76488,542627.0,2011-01-31 09:51:00,United Kingdom
76528,542628.0,2011-01-31 09:55:00,United Kingdom
76531,542629.0,2011-01-31 09:57:00,France
76577,542630.0,2011-01-31 10:08:00,United Kingdom
76578,542631.0,2011-01-31 10:09:00,United Kingdom
76589,542632.0,2011-01-31 10:13:00,United Kingdom
76594,542633.0,2011-01-31 10:31:00,United Kingdom
76647,542634.0,2011-01-31 10:42:00,United Kingdom
76677,542636.0,2011-01-31 10:44:00,United Kingdom
76683,542641.0,2011-01-31 11:25:00,United Kingdom
76694,542646.0,2011-01-31 11:42:00,United Kingdom
76731,542647.0,2011-01-31 11:46:00,United Kingdom
76759,542648.0,2011-01-31 11:46:00,Germany
76780,542649.0,2011-01-31 11:46:00,United Kingdom
76797,542659.0,2011-01-31 12:09:00,United Kingdom
76807,542662.0,2011-01-31 12:10:00,United Kingdom
76849,542664.0,2011-01-31 12:14:00,United Kingdom
76984,542667.0,2011-01-31 12:16:00,United Kingdom
77016,542673.0,2011-01-31 12:18:00,United Kingdom
77030,542678.0,2011-01-31 12:21:00,United Kingdom
77047,542690.0,2011-01-31 12:33:00,United Kingdom
77048,542691.0,2011-01-31 12:34:00,United Kingdom
77058,542692.0,2011-01-31 12:35:00,United Kingdom
77074,542694.0,2011-01-31 12:37:00,United Kingdom
77076,542707.0,2011-01-31 12:50:00,United Kingdom
77081,542708.0,2011-01-31 13:07:00,United Kingdom
77092,542709.0,2011-01-31 13:17:00,United Kingdom
77111,542710.0,2011-01-31 13:17:00,United Kingdom
77133,542711.0,2011-01-31 13:19:00,United Kingdom
77156,542712.0,2011-01-31 13:27:00,United Kingdom
77161,542713.0,2011-01-31 13:27:00,Germany
77212,542715.0,2011-01-31 13:39:00,United Kingdom
77222,542716.0,2011-01-31 14:02:00,United Kingdom
77242,542717.0,2011-01-31 14:07:00,United Kingdom
77283,542718.0,2011-01-31 14:13:00,United Kingdom
77290,542719.0,2011-01-31 14:18:00,United Kingdom
77367,542720.0,2011-01-31 14:35:00,Netherlands
77378,542722.0,2011-01-31 14:38:00,United Kingdom
77381,542723.0,2011-01-31 14:53:00,United Kingdom
77393,542724.0,2011-01-31 14:59:00,United Kingdom
77406,542725.0,2011-01-31 15:05:00,United Kingdom
77410,542727.0,2011-01-31 15:09:00,United Kingdom
77437,542728.0,2011-01-31 15:11:00,United Kingdom
77444,542729.0,2011-01-31 15:17:00,United Kingdom
77460,542731.0,2011-01-31 15:27:00,United Kingdom
77483,542733.0,2011-01-31 15:35:00,United Kingdom
77509,542735.0,2011-01-31 15:36:00,France
77529,542736.0,2011-01-31 15:37:00,United Kingdom
77530,542737.0,2011-01-31 15:52:00,United Kingdom
77566,542739.0,2011-01-31 15:57:00,United Kingdom
77572,542741.0,2011-01-31 16:02:00,United Kingdom
77594,542743.0,2011-01-31 16:26:00,United Kingdom
77601,542745.0,2011-01-31 16:47:00,United Kingdom
77624,542746.0,2011-01-31 16:48:00,United Kingdom
77627,542759.0,2011-01-31 16:59:00,United Kingdom
77628,542776.0,2011-02-01 08:23:00,United Kingdom
77642,542777.0,2011-02-01 08:31:00,EIRE
77687,542778.0,2011-02-01 09:01:00,United Kingdom
77701,542779.0,2011-02-01 09:36:00,United Kingdom
77719,542780.0,2011-02-01 09:38:00,United Kingdom
77743,542782.0,2011-02-01 10:00:00,Germany
77756,542785.0,2011-02-01 10:14:00,United Kingdom
77769,542786.0,2011-02-01 10:15:00,United Kingdom
77793,542788.0,2011-02-01 10:37:00,United Kingdom
77808,542789.0,2011-02-01 10:38:00,United Kingdom
77866,542790.0,2011-02-01 10:38:00,United Kingdom
77884,542791.0,2011-02-01 10:47:00,United Kingdom
77930,542794.0,2011-02-01 10:56:00,United Kingdom
78018,542795.0,2011-02-01 10:59:00,United Kingdom
78032,542796.0,2011-02-01 11:07:00,United Kingdom
78051,542797.0,2011-02-01 11:08:00,United Kingdom
78084,542800.0,2011-02-01 11:16:00,United Kingdom
78086,542806.0,2011-02-01 11:19:00,United Kingdom
78127,542812.0,2011-02-01 11:21:00,United Kingdom
78149,542835.0,2011-02-01 11:30:00,United Kingdom
78161,542836.0,2011-02-01 11:31:00,United Kingdom
78208,542849.0,2011-02-01 11:35:00,United Kingdom
78213,542858.0,2011-02-01 11:40:00,United Kingdom
78231,542859.0,2011-02-01 11:42:00,United Kingdom
78236,542862.0,2011-02-01 11:51:00,United Kingdom
78285,542863.0,2011-02-01 11:58:00,United Kingdom
78303,542864.0,2011-02-01 12:03:00,United Kingdom
78323,542865.0,2011-02-01 12:08:00,United Kingdom
78334,542867.0,2011-02-01 12:22:00,United Kingdom
78362,542868.0,2011-02-01 12:25:00,United Kingdom
78379,542869.0,2011-02-01 12:27:00,United Kingdom
78397,542870.0,2011-02-01 12:29:00,United Kingdom
78417,542871.0,2011-02-01 12:33:00,United Kingdom
78419,542872.0,2011-02-01 12:42:00,United Kingdom
78426,542881.0,2011-02-01 12:54:00,United Kingdom
78460,542886.0,2011-02-01 13:09:00,United Kingdom
78491,542887.0,2011-02-01 13:10:00,Austria
78505,542888.0,2011-02-01 13:15:00,United Kingdom
78528,542889.0,2011-02-01 13:20:00,United Kingdom
78530,542890.0,2011-02-01 13:25:00,United Kingdom
78609,542891.0,2011-02-01 13:26:00,United Kingdom
78652,542892.0,2011-02-01 13:28:00,United Kingdom
78653,542893.0,2011-02-01 13:36:00,United Kingdom
78676,542894.0,2011-02-01 13:45:00,Netherlands
78688,542895.0,2011-02-01 13:47:00,United Kingdom
78744,542896.0,2011-02-01 13:50:00,United Kingdom
78748,542897.0,2011-02-01 13:55:00,United Kingdom
78753,542898.0,2011-02-01 14:01:00,United Kingdom
78868,542899.0,2011-02-01 14:12:00,United Kingdom
78881,542900.0,2011-02-01 14:24:00,United Kingdom
78889,542901.0,2011-02-01 14:29:00,United Kingdom
78895,542902.0,2011-02-01 14:43:00,United Kingdom
78905,542903.0,2011-02-01 14:46:00,United Kingdom
78906,542904.0,2011-02-01 14:58:00,France
78925,542905.0,2011-02-01 15:11:00,Spain
78937,542906.0,2011-02-01 15:12:00,United Kingdom
79116,542907.0,2011-02-01 15:15:00,United Kingdom
79120,542908.0,2011-02-01 15:24:00,United Kingdom
79140,542909.0,2011-02-01 15:35:00,United Kingdom
79152,542911.0,2011-02-01 15:41:00,Sweden
79167,542914.0,2011-02-01 16:03:00,United Kingdom
79196,542915.0,2011-02-01 16:18:00,United Kingdom
79198,542919.0,2011-02-01 16:47:00,United Kingdom
79202,542920.0,2011-02-02 07:51:00,United Kingdom
79207,542921.0,2011-02-02 07:58:00,United Kingdom
79209,542922.0,2011-02-02 09:06:00,France
79228,542923.0,2011-02-02 09:08:00,United Kingdom
79254,542925.0,2011-02-02 09:39:00,United Kingdom
79259,542926.0,2011-02-02 09:49:00,Germany
79260,542927.0,2011-02-02 10:06:00,United Kingdom
79268,542928.0,2011-02-02 10:22:00,United Kingdom
79295,542929.0,2011-02-02 10:34:00,United Kingdom
79328,542930.0,2011-02-02 10:41:00,United Kingdom
79337,542931.0,2011-02-02 10:46:00,United Kingdom
79349,542932.0,2011-02-02 10:54:00,United Kingdom
79395,542933.0,2011-02-02 10:56:00,United Kingdom
79409,542934.0,2011-02-02 11:01:00,United Kingdom
79436,542936.0,2011-02-02 11:10:00,United Kingdom
79454,542944.0,2011-02-02 11:14:00,United Kingdom
79460,542989.0,2011-02-02 11:41:00,United Kingdom
79468,542990.0,2011-02-02 11:43:00,United Kingdom
79478,542992.0,2011-02-02 11:55:00,United Kingdom
79479,542993.0,2011-02-02 12:02:00,United Kingdom
79497,542994.0,2011-02-02 12:03:00,United Kingdom
79513,542995.0,2011-02-02 12:09:00,United Kingdom
79522,542996.0,2011-02-02 12:10:00,United Kingdom
79531,542997.0,2011-02-02 12:16:00,United Kingdom
79567,542998.0,2011-02-02 12:16:00,United Kingdom
79629,542999.0,2011-02-02 12:16:00,United Kingdom
79668,543000.0,2011-02-02 12:17:00,United Kingdom
79744,543001.0,2011-02-02 12:26:00,United Kingdom
79764,543002.0,2011-02-02 12:36:00,United Kingdom
79772,543003.0,2011-02-02 12:38:00,United Kingdom
79781,543005.0,2011-02-02 12:42:00,United Kingdom
79791,543006.0,2011-02-02 12:53:00,United Kingdom
79822,543007.0,2011-02-02 12:54:00,United Kingdom
79832,543008.0,2011-02-02 13:07:00,United Kingdom
79843,543009.0,2011-02-02 13:11:00,United Kingdom
79853,543010.0,2011-02-02 13:16:00,United Kingdom
79874,543011.0,2011-02-02 13:25:00,United Kingdom
79883,543012.0,2011-02-02 13:28:00,United Kingdom
79885,543013.0,2011-02-02 13:35:00,United Kingdom
80055,543015.0,2011-02-02 13:46:00,United Kingdom
80067,543016.0,2011-02-02 13:57:00,United Kingdom
80068,543017.0,2011-02-02 14:17:00,United Kingdom
80069,543018.0,2011-02-02 14:24:00,EIRE
80070,543019.0,2011-02-02 14:25:00,United Kingdom
80072,543020.0,2011-02-02 14:29:00,United Kingdom
80106,543021.0,2011-02-02 14:36:00,United Kingdom
80122,543022.0,2011-02-02 14:37:00,United Kingdom
80193,543023.0,2011-02-02 14:38:00,United Kingdom
80202,543024.0,2011-02-02 14:39:00,United Kingdom
80214,543025.0,2011-02-02 14:40:00,United Kingdom
80222,543027.0,2011-02-02 14:51:00,Austria
80229,543028.0,2011-02-02 15:09:00,United Kingdom
80248,543029.0,2011-02-02 15:13:00,United Kingdom
80252,543030.0,2011-02-02 15:22:00,France
80262,543031.0,2011-02-02 15:26:00,United Kingdom
80268,543032.0,2011-02-02 15:39:00,United Kingdom
80271,543033.0,2011-02-02 15:48:00,United Kingdom
80304,543036.0,2011-02-02 15:57:00,United Kingdom
80323,543037.0,2011-02-02 16:01:00,Norway
80340,543038.0,2011-02-02 16:15:00,United Kingdom
80347,543040.0,2011-02-02 17:06:00,United Kingdom
80606,543041.0,2011-02-02 17:08:00,United Kingdom
80610,543043.0,2011-02-02 17:15:00,United Kingdom
80613,543044.0,2011-02-03 08:18:00,United Kingdom
80630,543045.0,2011-02-03 09:04:00,United Kingdom
80640,543046.0,2011-02-03 09:37:00,United Kingdom
80647,543047.0,2011-02-03 09:42:00,United Kingdom
80652,543048.0,2011-02-03 09:58:00,Germany
80667,543053.0,2011-02-03 10:26:00,United Kingdom
80679,543054.0,2011-02-03 10:39:00,United Kingdom
80695,543055.0,2011-02-03 10:41:00,Spain
80726,543056.0,2011-02-03 10:47:00,Germany
80742,543057.0,2011-02-03 10:50:00,United Kingdom
80744,543094.0,2011-02-03 11:28:00,United Kingdom
80773,543095.0,2011-02-03 11:30:00,United Kingdom
80784,543096.0,2011-02-03 11:39:00,United Kingdom
80839,543097.0,2011-02-03 11:41:00,United Kingdom
80968,543098.0,2011-02-03 11:49:00,United Kingdom
80978,543099.0,2011-02-03 12:00:00,United Kingdom
81012,543106.0,2011-02-03 12:12:00,United Kingdom
81022,543107.0,2011-02-03 12:27:00,United Kingdom
81055,543108.0,2011-02-03 12:37:00,United Kingdom
81083,543111.0,2011-02-03 12:44:00,United Kingdom
81155,543113.0,2011-02-03 13:06:00,United Kingdom
81181,543114.0,2011-02-03 13:26:00,EIRE
81221,543115.0,2011-02-03 13:27:00,United Kingdom
81240,543116.0,2011-02-03 13:29:00,United Kingdom
81281,543117.0,2011-02-03 13:30:00,Belgium
81287,543118.0,2011-02-03 13:31:00,United Kingdom
81305,543120.0,2011-02-03 13:53:00,United Kingdom
81325,543121.0,2011-02-03 13:58:00,Germany
81344,543122.0,2011-02-03 14:01:00,United Kingdom
81355,543123.0,2011-02-03 14:08:00,United Kingdom
81374,543124.0,2011-02-03 14:15:00,United Kingdom
81403,543125.0,2011-02-03 14:41:00,United Kingdom
81416,543126.0,2011-02-03 14:41:00,United Kingdom
81426,543127.0,2011-02-03 14:51:00,United Kingdom
81430,543128.0,2011-02-03 14:54:00,United Kingdom
81433,543129.0,2011-02-03 15:02:00,United Kingdom
81444,543130.0,2011-02-03 15:17:00,United Kingdom
81448,543131.0,2011-02-03 15:23:00,United Kingdom
81459,543132.0,2011-02-03 15:27:00,United Kingdom
81473,543133.0,2011-02-03 15:27:00,United Kingdom
81477,543134.0,2011-02-03 15:28:00,United Kingdom
81478,543161.0,2011-02-03 17:01:00,United Kingdom
81507,543162.0,2011-02-03 18:08:00,United Kingdom
81552,543163.0,2011-02-03 18:45:00,United Kingdom
81553,543164.0,2011-02-03 19:32:00,United Kingdom
81579,543165.0,2011-02-03 19:58:00,United Kingdom
81602,543166.0,2011-02-04 08:27:00,United Kingdom
81634,543167.0,2011-02-04 08:56:00,United Kingdom
81638,543168.0,2011-02-04 08:58:00,United Kingdom
81643,543169.0,2011-02-04 08:59:00,United Kingdom
81646,543170.0,2011-02-04 09:03:00,United Kingdom
81656,543171.0,2011-02-04 09:10:00,United Kingdom
81717,543172.0,2011-02-04 09:11:00,United Kingdom
81759,543173.0,2011-02-04 09:30:00,United Kingdom
81782,543174.0,2011-02-04 09:34:00,United Kingdom
81801,543177.0,2011-02-04 09:56:00,United Kingdom
81808,543178.0,2011-02-04 10:31:00,EIRE
81821,543179.0,2011-02-04 10:31:00,Japan
81858,543180.0,2011-02-04 10:38:00,Switzerland
81880,543181.0,2011-02-04 10:39:00,Switzerland
81884,543182.0,2011-02-04 10:39:00,United Kingdom
82028,543183.0,2011-02-04 11:13:00,United Kingdom
82031,543184.0,2011-02-04 11:14:00,United Kingdom
82040,543186.0,2011-02-04 11:40:00,United Kingdom
82042,543187.0,2011-02-04 11:43:00,United Kingdom
82060,543188.0,2011-02-04 11:45:00,France
82123,543189.0,2011-02-04 11:48:00,United Kingdom
82134,543190.0,2011-02-04 11:52:00,United Kingdom
82155,543191.0,2011-02-04 11:54:00,United Kingdom
82203,543192.0,2011-02-04 11:55:00,United Kingdom
82210,543193.0,2011-02-04 12:18:00,United Kingdom
82252,543196.0,2011-02-04 12:29:00,United Kingdom
82288,543197.0,2011-02-04 12:36:00,United Kingdom
82302,543198.0,2011-02-04 12:37:00,United Kingdom
82305,543199.0,2011-02-04 12:40:00,United Kingdom
82314,543200.0,2011-02-04 13:03:00,United Kingdom
82369,543201.0,2011-02-04 13:03:00,United Kingdom
82428,543202.0,2011-02-04 13:04:00,United Kingdom
82429,543214.0,2011-02-04 13:19:00,Poland
82438,543232.0,2011-02-04 13:28:00,United Kingdom
82452,543235.0,2011-02-04 13:30:00,United Kingdom
82503,543237.0,2011-02-04 13:39:00,United Kingdom
82611,543240.0,2011-02-04 13:47:00,United Kingdom
82617,543242.0,2011-02-04 14:03:00,United Kingdom
82640,543243.0,2011-02-04 14:04:00,United Kingdom
82644,543245.0,2011-02-04 14:08:00,United Kingdom
82667,543246.0,2011-02-04 14:14:00,United Kingdom
82683,543247.0,2011-02-04 14:23:00,United Kingdom
82687,543248.0,2011-02-04 14:25:00,United Kingdom
82691,543249.0,2011-02-04 14:43:00,United Kingdom
82700,543250.0,2011-02-04 14:46:00,United Kingdom
82725,543251.0,2011-02-04 14:51:00,United Kingdom
82755,543252.0,2011-02-04 14:58:00,United Kingdom
82767,543253.0,2011-02-04 15:32:00,United Kingdom
82770,543255.0,2011-02-04 15:43:00,United Kingdom
82783,543256.0,2011-02-04 15:54:00,United Kingdom
82800,543263.0,2011-02-04 16:11:00,United Kingdom
82803,543264.0,2011-02-04 16:34:00,United Kingdom
82834,543272.0,2011-02-06 11:11:00,United Kingdom
82850,543273.0,2011-02-06 11:29:00,United Kingdom
82896,543274.0,2011-02-06 12:48:00,United Kingdom
82909,543275.0,2011-02-06 12:49:00,United Kingdom
82933,543276.0,2011-02-06 13:57:00,United Kingdom
82945,543277.0,2011-02-06 14:33:00,United Kingdom
83006,543278.0,2011-02-06 14:43:00,United Kingdom
83017,543279.0,2011-02-06 14:46:00,United Kingdom
83055,543280.0,2011-02-06 14:56:00,United Kingdom
83064,543281.0,2011-02-06 15:34:00,United Kingdom
83094,543282.0,2011-02-06 16:08:00,United Kingdom
83113,543283.0,2011-02-07 09:15:00,United Kingdom
83118,543284.0,2011-02-07 09:36:00,United Kingdom
83126,543285.0,2011-02-07 09:48:00,United Kingdom
83151,543286.0,2011-02-07 09:50:00,United Kingdom
83169,543287.0,2011-02-07 10:03:00,United Kingdom
83175,543288.0,2011-02-07 10:14:00,United Kingdom
83188,543291.0,2011-02-07 10:50:00,United Kingdom
83195,543292.0,2011-02-07 11:15:00,United Kingdom
83221,543293.0,2011-02-07 11:20:00,United Kingdom
83262,543294.0,2011-02-07 11:39:00,United Kingdom
83269,543300.0,2011-02-07 11:42:00,United Kingdom
83400,543306.0,2011-02-07 11:56:00,United Kingdom
83505,543309.0,2011-02-07 12:05:00,United Kingdom
83563,543325.0,2011-02-07 12:22:00,United Kingdom
83570,543332.0,2011-02-07 12:24:00,United Kingdom
83581,543342.0,2011-02-07 12:27:00,United Kingdom
83610,543345.0,2011-02-07 12:29:00,United Kingdom
83755,543348.0,2011-02-07 12:46:00,United Kingdom
83756,543349.0,2011-02-07 13:13:00,United Kingdom
83782,543350.0,2011-02-07 13:15:00,Cyprus
83794,543351.0,2011-02-07 13:18:00,United Kingdom
83805,543352.0,2011-02-07 13:32:00,United Kingdom
83813,543354.0,2011-02-07 13:50:00,United Kingdom
83852,543355.0,2011-02-07 13:50:00,United Kingdom
83892,543357.0,2011-02-07 13:59:00,Australia
83898,543358.0,2011-02-07 14:04:00,United Kingdom
84041,543359.0,2011-02-07 14:16:00,United Kingdom
84052,543367.0,2011-02-07 14:33:00,United Kingdom
84076,543369.0,2011-02-07 14:49:00,United Kingdom
84105,543370.0,2011-02-07 14:51:00,Cyprus
84185,543371.0,2011-02-07 14:53:00,United Kingdom
84270,543372.0,2011-02-07 15:01:00,Australia
84272,543373.0,2011-02-07 15:04:00,United Kingdom
84282,543374.0,2011-02-07 15:05:00,United Kingdom
84301,543376.0,2011-02-07 15:10:00,Australia
84303,543377.0,2011-02-07 15:14:00,United Kingdom
84318,543378.0,2011-02-07 15:34:00,United Kingdom
84320,543379.0,2011-02-07 15:37:00,United Kingdom
84324,543380.0,2011-02-07 15:47:00,United Kingdom
84332,543382.0,2011-02-07 16:21:00,United Kingdom
84371,543383.0,2011-02-07 16:23:00,United Kingdom
84372,543385.0,2011-02-07 16:24:00,United Kingdom
84375,543387.0,2011-02-08 09:41:00,Netherlands
84390,543389.0,2011-02-08 09:56:00,United Kingdom
84410,543391.0,2011-02-08 10:12:00,United Kingdom
84426,543392.0,2011-02-08 10:15:00,United Kingdom
